LEFT,RIGHT,DIFF,TrialLabel
97.5046875,62.334375,-35.1703125,Trial_1_Target_Z_Response_Z_n_11
98.6484375,64.3359375,-34.3125,
99.2203125,65.4796875,-33.740625,
98.6484375,66.0515625,-32.596875,
96.9328125,65.765625,-31.1671875,
94.359375,64.3359375,-30.0234375,
90.928125,62.334375,-28.59375,
87.2109375,59.475,-27.7359375,
83.2078125,56.615625,-26.5921875,
80.0625,53.75625,-26.30625,
77.203125,51.46875,-25.734375,
75.7734375,50.0390625,-25.734375,
75.4875,49.4671875,-26.0203125,
76.059375,49.753125,-26.30625,
77.4890625,50.896875,-26.5921875,
79.490625,52.6125,-26.878125,
81.778125,54.328125,-27.45,
83.49375,56.04375,-27.45,
84.6375,57.4734375,-27.1640625,
85.209375,58.0453125,-27.1640625,
84.6375,58.0453125,-26.5921875,
83.49375,57.4734375,-26.0203125,
81.778125,56.615625,-25.1625,
80.0625,55.7578125,-24.3046875,
78.6328125,54.9,-23.7328125,
77.775,54.6140625,-23.1609375,
77.775,54.9,-22.875,
78.6328125,55.7578125,-22.875,
80.3484375,57.1875,-23.1609375,
82.6359375,58.6171875,-24.01875,
85.209375,60.046875,-25.1625,
87.496875,60.9046875,-26.5921875,
88.9265625,60.9046875,-28.021875,
89.4984375,59.475,-30.0234375,
88.3546875,56.9015625,-31.453125,
85.78125,52.3265625,-33.4546875,
81.4921875,46.6078125,-34.884375,
75.7734375,39.459375,-36.3140625,
68.625,31.1671875,-37.4578125,
60.61875,22.5890625,-38.0296875,
52.040625,13.4390625,-38.6015625,
43.1765625,4.575,-38.6015625,
34.5984375,-3.7171875,-38.315625,
26.30625,-11.4375,-37.74375,
18.871875,-18.0140625,-36.8859375,
12.2953125,-23.7328125,-36.028125,
7.1484375,-28.021875,-35.1703125,
3.1453125,-30.88125,-34.0265625,
0.571875,-32.3109375,-32.8828125,
0,-32.3109375,-32.3109375,
0.2859375,-30.88125,-31.1671875,
2.859375,-28.021875,-30.88125,
6.5765625,-23.446875,-30.0234375,
11.7234375,-17.728125,-29.4515625,
18.0140625,-11.1515625,-29.165625,
24.8765625,-3.43125,-28.3078125,
32.3109375,4.2890625,-28.021875,
39.459375,12.58125,-26.878125,
46.6078125,20.5875,-26.0203125,
52.8984375,28.3078125,-24.590625,
58.33125,34.884375,-23.446875,
62.90625,40.8890625,-22.0171875,
66.6234375,45.4640625,-21.159375,
69.4828125,48.8953125,-20.5875,
71.7703125,51.1828125,-20.5875,
73.2,52.3265625,-20.8734375,
74.6296875,52.6125,-22.0171875,
75.4875,52.040625,-23.446875,
76.3453125,50.896875,-25.4484375,
76.9171875,49.4671875,-27.45,
77.203125,47.465625,-29.7375,
77.203125,45.178125,-32.025,
76.9171875,43.1765625,-33.740625,
76.059375,40.8890625,-35.1703125,
74.915625,38.8875,-36.028125,
73.2,36.8859375,-36.3140625,
71.484375,34.884375,-36.6,
69.76875,33.16875,-36.6,
68.053125,31.453125,-36.6,
66.3375,30.0234375,-36.3140625,
65.19375,28.8796875,-36.3140625,
64.621875,27.45,-37.171875,
64.3359375,26.0203125,-38.315625,
64.3359375,24.8765625,-39.459375,
64.3359375,23.1609375,-41.175,
64.3359375,21.4453125,-42.890625,
64.3359375,19.7296875,-44.60625,
63.7640625,17.4421875,-46.321875,
62.6203125,15.440625,-47.1796875,
60.9046875,13.153125,-47.7515625,
58.903125,10.865625,-48.0375,
56.3296875,8.8640625,-47.465625,
53.75625,7.1484375,-46.6078125,
51.1828125,6.0046875,-45.178125,
48.609375,5.4328125,-43.1765625,
46.89375,5.71875,-41.175,
45.4640625,6.290625,-39.1734375,
44.8921875,8.00625,-36.8859375,
44.60625,9.721875,-34.884375,
44.8921875,12.2953125,-32.596875,
45.178125,14.5828125,-30.5953125,
45.178125,16.8703125,-28.3078125,
45.178125,18.5859375,-26.5921875,
44.60625,19.44375,-25.1625,
43.1765625,19.7296875,-23.446875,
40.8890625,19.1578125,-21.73125,
38.0296875,17.4421875,-20.5875,
34.5984375,15.1546875,-19.44375,
30.88125,12.2953125,-18.5859375,
27.45,9.15,-18.3,
24.590625,6.290625,-18.3,
22.303125,3.7171875,-18.5859375,
21.4453125,2.0015625,-19.44375,
21.73125,0.8578125,-20.8734375,
23.1609375,0.8578125,-22.303125,
25.734375,1.14375,-24.590625,
28.8796875,2.2875,-26.5921875,
32.025,3.1453125,-28.8796875,
35.1703125,4.003125,-31.1671875,
37.4578125,4.575,-32.8828125,
38.6015625,4.003125,-34.5984375,
38.6015625,2.859375,-35.7421875,
36.8859375,0.571875,-36.3140625,
34.3125,-1.715625,-36.028125,
30.88125,-4.8609375,-35.7421875,
27.1640625,-8.00625,-35.1703125,
23.7328125,-10.5796875,-34.3125,
20.8734375,-12.58125,-33.4546875,
19.7296875,-13.4390625,-33.16875,
20.015625,-13.153125,-33.16875,
21.73125,-12.009375,-33.740625,
24.8765625,-9.721875,-34.5984375,
28.8796875,-7.1484375,-36.028125,
33.4546875,-4.575,-38.0296875,
37.4578125,-2.0015625,-39.459375,
40.3171875,-0.2859375,-40.603125,
41.4609375,0,-41.4609375,
40.8890625,0,-40.8890625,
38.315625,-1.715625,-40.03125,
33.740625,-4.2890625,-38.0296875,
28.021875,-7.7203125,-35.7421875,
21.4453125,-11.4375,-32.8828125,
14.86875,-15.440625,-30.309375,
8.8640625,-19.1578125,-28.021875,
4.2890625,-22.303125,-26.5921875,
0.8578125,-24.8765625,-25.734375,
-0.2859375,-26.5921875,-26.30625,
0,-27.7359375,-27.7359375,
1.4296875,-28.021875,-29.4515625,
4.2890625,-27.7359375,-32.025,
7.434375,-26.878125,-34.3125,
10.865625,-25.734375,-36.6,
14.0109375,-24.3046875,-38.315625,
16.584375,-23.1609375,-39.7453125,
18.3,-21.73125,-40.03125,
19.44375,-20.8734375,-40.3171875,
19.7296875,-20.3015625,-40.03125,
20.015625,-20.3015625,-40.3171875,
20.015625,-20.5875,-40.603125,
19.7296875,-21.4453125,-41.175,
19.7296875,-22.875,-42.6046875,
19.44375,-24.590625,-44.034375,
19.44375,-26.878125,-46.321875,
19.1578125,-29.165625,-48.3234375,
18.5859375,-31.453125,-50.0390625,
17.4421875,-33.4546875,-50.896875,
16.0125,-35.45625,-51.46875,
14.296875,-36.6,-50.896875,
12.009375,-37.74375,-49.753125,
9.4359375,-38.0296875,-47.465625,
7.1484375,-38.315625,-45.4640625,
5.146875,-38.6015625,-43.7484375,
3.43125,-38.6015625,-42.0328125,
2.2875,-38.8875,-41.175,
1.715625,-39.7453125,-41.4609375,
1.4296875,-40.8890625,-42.31875,
1.715625,-42.6046875,-44.3203125,
2.0015625,-44.3203125,-46.321875,
2.2875,-46.6078125,-48.8953125,
2.2875,-48.609375,-50.896875,
2.0015625,-50.6109375,-52.6125,
1.14375,-52.040625,-53.184375,
0,-52.8984375,-52.8984375,
-1.4296875,-53.4703125,-52.040625,
-3.1453125,-53.184375,-50.0390625,
-4.8609375,-52.6125,-47.7515625,
-6.0046875,-51.7546875,-45.75,
-6.5765625,-50.896875,-44.3203125,
-6.290625,-49.753125,-43.4625,
-5.71875,-48.609375,-42.890625,
-4.2890625,-47.465625,-43.1765625,
-2.2875,-46.6078125,-44.3203125,
-0.571875,-45.4640625,-44.8921875,
0.8578125,-44.8921875,-45.75,
2.0015625,-44.034375,-46.0359375,
2.5734375,-43.7484375,-46.321875,
2.0015625,-43.4625,-45.4640625,
0.2859375,-43.4625,-43.7484375,
-2.0015625,-44.3203125,-42.31875,
-5.4328125,-45.4640625,-40.03125,
-9.4359375,-47.1796875,-37.74375,
-13.725,-49.753125,-36.028125,
-17.728125,-52.3265625,-34.5984375,
-21.159375,-55.1859375,-34.0265625,
-23.7328125,-58.0453125,-34.3125,
-25.1625,-60.3328125,-35.1703125,
-25.4484375,-61.4765625,-36.028125,
-24.590625,-62.0484375,-37.4578125,
-23.1609375,-61.190625,-38.0296875,
-20.8734375,-59.475,-38.6015625,
-18.3,-56.615625,-38.315625,
-16.0125,-53.4703125,-37.4578125,
-14.0109375,-50.0390625,-36.028125,
-12.8671875,-47.1796875,-34.3125,
-12.2953125,-44.8921875,-32.596875,
-12.8671875,-43.7484375,-30.88125,
-14.296875,-43.7484375,-29.4515625,
-16.2984375,-45.178125,-28.8796875,
-18.871875,-47.465625,-28.59375,
-21.73125,-50.325,-28.59375,
-24.590625,-53.4703125,-28.8796875,
-27.45,-56.3296875,-28.8796875,
-30.0234375,-58.6171875,-28.59375,
-32.025,-60.3328125,-28.3078125,
-33.740625,-60.9046875,-27.1640625,
-35.1703125,-60.61875,-25.4484375,
-36.3140625,-59.1890625,-22.875,
-36.8859375,-57.4734375,-20.5875,
-37.171875,-55.471875,-18.3,
-37.171875,-53.4703125,-16.2984375,
-36.8859375,-51.7546875,-14.86875,
-36.3140625,-50.6109375,-14.296875,
-35.45625,-50.0390625,-14.5828125,
-34.3125,-49.753125,-15.440625,
-32.8828125,-50.0390625,-17.15625,
-31.453125,-50.896875,-19.44375,
-29.7375,-52.040625,-22.303125,
-28.3078125,-52.8984375,-24.590625,
-27.1640625,-54.0421875,-26.878125,
-26.5921875,-55.1859375,-28.59375,
-26.30625,-56.3296875,-30.0234375,
-26.30625,-57.4734375,-31.1671875,
-26.878125,-58.6171875,-31.7390625,
-27.7359375,-59.475,-31.7390625,
-28.8796875,-60.3328125,-31.453125,
-30.0234375,-61.190625,-31.1671875,
-30.88125,-61.7625,-30.88125,
-31.453125,-61.7625,-30.309375,
-31.7390625,-61.4765625,-29.7375,
-31.7390625,-60.61875,-28.8796875,
-31.453125,-59.475,-28.021875,
-30.5953125,-57.759375,-27.1640625,
-30.0234375,-55.7578125,-25.734375,
-29.4515625,-53.75625,-24.3046875,
-28.8796875,-52.040625,-23.1609375,
-28.59375,-50.325,-21.73125,
-28.59375,-49.18125,-20.5875,
-28.8796875,-48.3234375,-19.44375,
-28.8796875,-48.0375,-19.1578125,
-29.165625,-48.3234375,-19.1578125,
-29.165625,-48.8953125,-19.7296875,
-29.165625,-49.4671875,-20.3015625,
-29.165625,-50.325,-21.159375,
-29.165625,-51.1828125,-22.0171875,
-29.165625,-52.040625,-22.875,
-29.7375,-52.8984375,-23.1609375,
-30.309375,-53.75625,-23.446875,
-31.7390625,-54.9,-23.1609375,
-34.0265625,-56.3296875,-22.303125,
-36.6,-58.0453125,-21.4453125,
-39.7453125,-60.046875,-20.3015625,
-42.890625,-62.334375,-19.44375,
-46.321875,-64.621875,-18.3,
-49.4671875,-66.909375,-17.4421875,
-51.7546875,-68.9109375,-17.15625,
-53.4703125,-70.6265625,-17.15625,
-54.328125,-71.7703125,-17.4421875,
-54.328125,-72.3421875,-18.0140625,
-53.75625,-72.05625,-18.3,
-52.3265625,-71.7703125,-19.44375,
-50.896875,-70.9125,-20.015625,
-49.18125,-70.0546875,-20.8734375,
-48.3234375,-69.4828125,-21.159375,
-47.7515625,-68.9109375,-21.159375,
-47.7515625,-68.9109375,-21.159375,
-48.8953125,-68.9109375,-20.015625,
-50.6109375,-69.196875,-18.5859375,
-52.6125,-69.76875,-17.15625,
-54.9,-69.76875,-14.86875,
-57.1875,-69.76875,-12.58125,
-59.475,-69.196875,-9.721875,
-61.190625,-68.3390625,-7.14843749999999,
-62.334375,-67.1953125,-4.8609375,
-63.1921875,-65.765625,-2.5734375,
-63.7640625,-64.3359375,-0.571874999999999,
-64.3359375,-63.1921875,1.14375,
-64.621875,-62.6203125,2.0015625,
-65.4796875,-62.90625,2.5734375,
-66.3375,-63.7640625,2.5734375,
-67.7671875,-65.19375,2.5734375,
-69.196875,-67.1953125,2.00156250000001,
-70.9125,-69.4828125,1.4296875,
-72.05625,-71.484375,0.571875000000006,
-73.2,-72.9140625,0.285937500000003,
-73.4859375,-73.771875,-0.285937500000003,
-72.9140625,-73.4859375,-0.571875000000006,
-71.1984375,-72.628125,-1.4296875,
-68.9109375,-70.9125,-2.00156250000001,
-66.0515625,-68.9109375,-2.859375,
-62.90625,-66.6234375,-3.71718750000001,
-59.7609375,-64.621875,-4.8609375,
-56.9015625,-63.1921875,-6.290625,
-54.9,-62.6203125,-7.7203125,
-53.75625,-62.90625,-9.15,
-54.0421875,-64.3359375,-10.29375,
-55.471875,-66.3375,-10.865625,
-57.759375,-68.9109375,-11.1515625,
