LEFT,RIGHT,DIFF,TrialLabel
2473.645313,1936.36875,-516.1171875,
2473.645313,1935.796875,-514.115625,
2473.645313,1935.796875,-512.6859375,
2473.645313,1935.796875,-512.4,
2473.645313,1936.082813,-512.6859375,
2473.645313,1936.36875,-514.115625,
2473.645313,1936.654688,-516.1171875,
2473.645313,1936.654688,-518.690625,
2473.645313,1936.36875,-521.2640625,
2473.645313,1936.36875,-523.265625,
2473.645313,1936.082813,-524.6953125,
2473.645313,1936.082813,-525.2671875,
2473.645313,1935.796875,-525.553125,
2473.645313,1936.082813,-524.98125,
2473.645313,1936.36875,-524.1234375,
2473.645313,1936.654688,-523.265625,
2473.645313,1937.226563,-522.9796875,
2473.645313,1938.084375,-522.69375,
2473.645313,1938.942188,-523.265625,
2473.645313,1940.085938,-524.1234375,
2473.645313,1940.94375,-525.8390625,
2473.645313,1942.0875,-527.26875,
2473.645313,1942.945313,-528.984375,
2473.645313,1943.803125,-530.128125,
2473.645313,1944.375,-530.4140625,
2473.645313,1944.660938,-530.4140625,
2473.645313,1944.946875,-529.2703125,
2473.645313,1944.660938,-527.840625,
2473.645313,1944.375,-526.125,
2473.645313,1943.517188,-524.409375,
2473.645313,1942.659375,-523.265625,
2473.645313,1941.801563,-522.4078125,
2473.645313,1940.657813,-522.69375,
2473.645313,1940.085938,-523.5515625,
2473.645313,1939.228125,-525.553125,
2473.645313,1939.228125,-527.840625,
2473.645313,1939.228125,-530.7,
2473.645313,1939.8,-533.2734375,
2473.645313,1940.94375,-535.275,
2473.645313,1942.0875,-536.7046875,
2473.645313,1943.517188,-537.5625,
2473.645313,1944.946875,-537.5625,
2473.645313,1946.090625,-537.2765625,
2473.645313,1947.234375,-535.846875,
2473.645313,1948.092188,-534.4171875,
2473.645313,1948.664063,-532.415625,
2473.645313,1948.95,-530.7,
2473.645313,1949.235938,-528.984375,
2473.645313,1949.807813,-526.9828125,
2473.645313,1950.379688,-525.2671875,
2473.645313,1951.2375,-523.265625,
2473.645313,1952.38125,-521.55,
2473.645313,1954.096875,-519.5484375,
2473.645313,1956.098438,-517.546875,
2473.645313,1958.1,-515.83125,
2473.645313,1959.815625,-514.4015625,
2473.645313,1961.53125,-513.2578125,
2473.645313,1962.103125,-512.971875,
2473.645313,1962.103125,-513.2578125,
2473.645313,1960.673438,-514.6875,
2473.645313,1958.385938,-516.6890625,
2473.645313,1954.954688,-519.5484375,
2473.645313,1950.09375,-522.9796875,
2473.645313,1944.660938,-526.125,
2473.645313,1938.084375,-529.55625,
2473.645313,1931.221875,-532.415625,
2473.645313,1923.501563,-534.9890625,
2473.645313,1915.78125,-536.7046875,
2473.645313,1908.060938,-537.5625,
2473.645313,1900.340625,-537.8484375,
2473.645313,1892.620313,-537.8484375,
2473.645313,1885.185938,-537.5625,
2473.645313,1878.609375,-536.7046875,
2473.645313,1872.604688,-535.846875,
2473.645313,1868.029688,-534.703125,
2473.645313,1864.598438,-533.559375,
2473.645313,1863.16875,-531.84375,
2473.645313,1863.740625,-529.8421875,
2473.645313,1866.314063,-527.5546875,
2473.645313,1871.175,-524.6953125,
2473.645313,1878.0375,-521.55,
2473.645313,1886.901563,-518.11875,
2473.645313,1896.909375,-514.4015625,
2473.645313,1907.775,-511.25625,
2473.645313,1918.926563,-508.1109375,
2473.645313,1929.50625,-505.8234375,
2473.645313,1938.942188,-504.6796875,
2473.645313,1946.948438,-504.39375,
2473.645313,1952.953125,-505.2515625,
2473.645313,1956.95625,-507.253125,
2473.645313,1958.957813,-510.1125,
2473.645313,1959.24375,-513.2578125,
2473.645313,1958.1,-516.403125,
2473.645313,1956.098438,-519.5484375,
2473.645313,1953.525,-522.121875,
2473.645313,1950.665625,-524.1234375,
2473.645313,1948.378125,-524.98125,
2473.645313,1946.6625,-525.2671875,
2473.645313,1945.804688,-524.409375,
2473.645313,1945.804688,-523.265625,
2473.645313,1946.376563,-521.8359375,
2473.645313,1947.80625,-519.834375,
2473.645313,1949.807813,-518.11875,
2473.645313,1952.095313,-516.403125,
2473.645313,1954.66875,-514.9734375,
2473.645313,1956.95625,-514.115625,
2473.645313,1959.24375,-513.2578125,
2473.645313,1960.959375,-512.971875,
2473.645313,1962.389063,-512.6859375,
2473.645313,1963.246875,-512.6859375,
2473.645313,1963.532813,-512.971875,
2473.645313,1963.246875,-513.2578125,
2473.645313,1962.675,-513.54375,
2473.645313,1961.817188,-513.8296875,
2473.645313,1960.959375,-514.115625,
2473.645313,1960.101563,-514.115625,
2473.645313,1959.24375,-514.6875,
2473.645313,1958.957813,-514.6875,
2473.645313,1958.957813,-514.9734375,
2473.645313,1959.24375,-515.259375,
2473.645313,1960.101563,-515.5453125,
2473.645313,1961.245313,-515.83125,
2473.645313,1962.389063,-516.1171875,
2473.645313,1963.532813,-516.1171875,
2473.645313,1964.676563,-516.1171875,
2473.645313,1965.248438,-516.403125,
2473.645313,1965.248438,-516.6890625,
2473.645313,1964.676563,-516.975,
2473.645313,1963.532813,-517.546875,
2473.645313,1962.103125,-517.8328125,
2473.645313,1960.673438,-518.11875,
2473.645313,1959.24375,-518.4046875,
2473.645313,1958.1,-518.4046875,
2473.645313,1957.528125,-518.11875,
2473.645313,1957.814063,-517.2609375,
2473.645313,1958.671875,-516.1171875,
2473.645313,1960.3875,-514.6875,
2473.645313,1962.675,-512.6859375,
2473.645313,1965.248438,-510.684375,
2473.645313,1967.821875,-508.96875,
2473.645313,1970.109375,-507.253125,
2473.645313,1972.110938,-506.109375,
2473.645313,1973.540625,-505.5375,
2473.645313,1974.398438,-505.2515625,
2473.645313,1974.398438,-506.109375,
2473.645313,1973.826563,-507.5390625,
2473.645313,1972.96875,-509.2546875,
2473.645313,1972.110938,-511.25625,
2473.645313,1970.967188,-513.54375,
2473.645313,1970.109375,-515.83125,
2473.645313,1969.823438,-517.2609375,
2473.645313,1969.823438,-518.4046875,
2473.645313,1970.109375,-518.9765625,
2473.645313,1970.967188,-518.9765625,
2473.645313,1971.825,-518.690625,
2473.645313,1972.96875,-517.8328125,
2473.645313,1973.826563,-517.2609375,
2473.645313,1974.684375,-516.403125,
2473.645313,1974.970313,-516.403125,
2473.645313,1974.970313,-516.1171875,
2473.645313,1974.684375,-516.403125,
2473.645313,1973.826563,-516.975,
2473.645313,1972.396875,-517.8328125,
2473.645313,1971.253125,-518.11875,
2473.645313,1969.823438,-518.690625,
2473.645313,1968.39375,-518.690625,
2473.645313,1967.535938,-518.4046875,
2473.645313,1967.25,-517.2609375,
2473.645313,1967.535938,-515.83125,
2473.645313,1968.679688,-514.115625,
2473.645313,1970.395313,-512.4,
2473.645313,1972.96875,-510.684375,
2473.645313,1976.4,-509.2546875,
2473.645313,1980.117188,-508.1109375,
2473.645313,1983.834375,-508.1109375,
2473.645313,1987.8375,-507.825,
2473.645313,1991.26875,-508.396875,
2473.645313,1993.842188,-509.2546875,
2473.645313,1995.84375,-509.8265625,
2473.645313,1996.701563,-510.3984375,
2473.645313,1996.415625,-510.684375,
2473.645313,1995.271875,-510.3984375,
2473.645313,1993.270313,-509.8265625,
2473.645313,1990.982813,-508.6828125,
2473.645313,1988.695313,-507.253125,
2473.645313,1986.69375,-506.109375,
2473.645313,1985.264063,-505.2515625,
2473.645313,1984.978125,-504.6796875,
2473.645313,1985.55,-504.965625,
2473.645313,1987.265625,-505.5375,
2473.645313,1989.839063,-506.9671875,
2473.645313,1992.984375,-508.96875,
2473.645313,1996.129688,-511.5421875,
2473.645313,1999.275,-513.8296875,
2473.645313,2001.848438,-516.1171875,
2473.645313,2003.85,-517.546875,
2473.645313,2004.707813,-518.4046875,
2473.645313,2004.421875,-518.4046875,
2473.645313,2003.278125,-517.546875,
2473.645313,2001.848438,-515.83125,
2473.645313,1999.560938,-513.8296875,
2473.645313,1997.559375,-511.5421875,
2473.645313,1995.84375,-508.96875,
2473.645313,1994.7,-506.9671875,
2473.645313,1994.414063,-505.2515625,
2473.645313,1994.7,-504.39375,
2473.645313,1996.129688,-503.821875,
2473.645313,1997.845313,-504.1078125,
2473.645313,2000.132813,-504.965625,
2473.645313,2002.992188,-505.5375,
2473.645313,2005.565625,-506.68125,
2473.645313,2007.853125,-507.5390625,
2473.645313,2010.140625,-508.1109375,
2473.645313,2012.142188,-508.1109375,
2473.645313,2013.857813,-507.825,
2473.645313,2015.2875,-507.253125,
2473.645313,2016.717188,-506.3953125,
2473.645313,2017.860938,-505.5375,
2473.645313,2019.290625,-504.39375,
2473.645313,2020.720313,-503.5359375,
2473.645313,2022.15,-502.9640625,
2473.645313,2023.579688,-502.678125,
2473.645313,2024.723438,-503.25,
2473.645313,2025.867188,-503.821875,
2473.645313,2027.010938,-504.6796875,
2473.645313,2027.582813,-505.8234375,
2473.645313,2028.154688,-506.9671875,
2473.645313,2028.726563,-508.1109375,
2473.645313,2029.298438,-509.2546875,
2473.645313,2029.870313,-510.1125,
2473.645313,2030.728125,-510.9703125,
2473.645313,2031.871875,-511.5421875,
2473.645313,2033.301563,-511.828125,
2473.645313,2035.303125,-511.828125,
2473.645313,2037.590625,-511.5421875,
2473.645313,2040.164063,-510.9703125,
2473.645313,2042.7375,-510.1125,
2473.645313,2045.310938,-509.540625,
2473.645313,2047.884375,-508.396875,
2473.645313,2050.171875,-507.825,
2473.645313,2052.173438,-506.9671875,
2473.645313,2053.889063,-506.68125,
2473.645313,2055.31875,-506.68125,
2473.645313,2056.4625,-507.253125,
2473.645313,2057.320313,-508.1109375,
2473.645313,2057.892188,-509.8265625,
2473.645313,2058.75,-511.25625,
2473.645313,2059.321875,-513.2578125,
2473.645313,2059.89375,-515.259375,
2473.645313,2060.465625,-517.2609375,
2473.645313,2061.0375,-518.9765625,
2473.645313,2061.609375,-520.1203125,
2473.645313,2062.467188,-520.6921875,
2473.645313,2063.039063,-520.978125,
2473.645313,2063.896875,-520.978125,
2473.645313,2064.754688,-520.6921875,
2473.645313,2065.898438,-519.834375,
2473.645313,2067.328125,-519.2625,
2473.645313,2069.04375,-518.4046875,
2473.645313,2070.759375,-518.11875,
2473.645313,2073.046875,-517.8328125,
2473.645313,2075.620313,-517.546875,
2473.645313,2078.19375,-517.546875,
2473.645313,2081.053125,-517.2609375,
2473.645313,2083.626563,-517.2609375,
2473.645313,2085.914063,-517.546875,
2473.645313,2088.201563,-517.2609375,
2473.645313,2089.917188,-517.2609375,
2473.645313,2091.060938,-517.2609375,
2473.645313,2091.632813,-517.546875,
2473.645313,2091.91875,-518.11875,
2473.645313,2091.91875,-518.690625,
2473.645313,2091.346875,-519.5484375,
