LEFT,RIGHT,DIFF,TrialLabel
-1658.1515625,-1222.096875,436.0546875,Trial_1_Target_V_Response_V_n_8
-1654.1484375,-1220.0953125,434.053125,
-1651.003125,-1219.2375,431.765625,
-1649.2875,-1219.5234375,429.7640625,
-1648.715625,-1221.525,427.190625,
-1649.859375,-1224.384375,425.475,
-1652.146875,-1227.5296875,424.6171875,
-1655.578125,-1230.675,424.903125,
-1659.58125,-1233.2484375,426.3328125,
-1663.2984375,-1234.3921875,428.90625,
-1666.44375,-1234.3921875,432.0515625,
-1668.73125,-1232.6765625,436.0546875,
-1669.5890625,-1229.53125,440.0578125,
-1669.0171875,-1225.8140625,443.203125,
-1667.5875,-1221.525,446.0625,
-1665.3,-1217.521875,447.778125,
-1662.440625,-1214.3765625,448.0640625,
-1659.58125,-1212.946875,446.634375,
-1657.0078125,-1212.946875,444.0609375,
-1655.00625,-1214.6625,440.34375,
-1653.5765625,-1217.521875,436.0546875,
-1652.71875,-1221.525,431.19375,
-1651.8609375,-1225.528125,426.3328125,
-1651.003125,-1229.2453125,421.7578125,
-1649.859375,-1231.81875,418.040625,
-1647.571875,-1232.6765625,414.8953125,
-1644.4265625,-1231.81875,412.6078125,
-1640.4234375,-1228.959375,411.4640625,
-1635.8484375,-1224.6703125,411.178125,
-1630.9875,-1219.5234375,411.4640625,
-1626.6984375,-1214.6625,412.0359375,
-1623.553125,-1210.659375,412.89375,
-1622.1234375,-1208.371875,413.7515625,
-1622.98125,-1208.6578125,414.3234375,
-1626.6984375,-1211.803125,414.8953125,
-1633.275,-1218.3796875,414.8953125,
-1642.1390625,-1227.815625,414.3234375,
-1653.0046875,-1239.5390625,413.465625,
-1665.0140625,-1253.2640625,411.75,
-1677.5953125,-1267.846875,409.7484375,
-1690.1765625,-1282.14375,408.0328125,
-1701.328125,-1295.296875,406.03125,
-1711.05,-1307.0203125,404.0296875,
-1718.484375,-1316.1703125,402.3140625,
-1723.9171875,-1322.746875,401.1703125,
-1727.0625,-1327.0359375,400.0265625,
-1728.4921875,-1328.7515625,399.740625,
-1728.4921875,-1328.465625,400.0265625,
-1727.3484375,-1326.75,400.5984375,
-1725.346875,-1324.1765625,401.1703125,
-1723.059375,-1320.7453125,402.3140625,
-1720.4859375,-1317.3140625,403.171875,
-1717.9125,-1313.8828125,404.0296875,
-1715.053125,-1310.165625,404.8875,
-1711.9078125,-1306.4484375,405.459375,
-1708.190625,-1302.159375,406.03125,
-1703.9015625,-1297.584375,406.3171875,
-1698.7546875,-1292.1515625,406.603125,
-1693.0359375,-1285.8609375,407.175,
-1686.7453125,-1278.9984375,407.746875,
-1680.16875,-1271.85,408.31875,
-1673.5921875,-1264.1296875,409.4625,
-1667.5875,-1256.98125,410.60625,
-1661.86875,-1250.4046875,411.4640625,
-1657.29375,-1244.971875,412.321875,
-1653.5765625,-1240.96875,412.6078125,
-1651.003125,-1238.3953125,412.6078125,
-1649.5734375,-1237.2515625,412.321875,
-1649.0015625,-1237.2515625,411.75,
-1649.2875,-1238.68125,410.60625,
-1649.859375,-1240.396875,409.4625,
